Dragon_1
   0.340621 -0.071275  0.071284  0.340623  0.000000  0.000000  0.166667
   0.037463 -0.345977  0.345978  0.037471  0.341000  0.071000  0.166667
   0.340621 -0.071275  0.071284  0.340623  0.379000  0.418000  0.166667
  -0.233669  0.257876 -0.257882 -0.233675  0.720000  0.489000  0.166667
   0.173052  0.301926 -0.301922  0.173045  0.486000  0.231000  0.166667
   0.340621 -0.071275  0.071284  0.340623  0.659000 -0.071000  0.166665

Eisenstein
  -0.500000  0.000000  0.000000 -0.500000  0.000000  0.000000  0.250000
  -0.500000  0.000000  0.000000 -0.500000 -0.500000  0.000000  0.250000
  -0.500000  0.000000  0.000000 -0.500000  0.250000 -0.433000  0.250000
  -0.500000  0.000000  0.000000 -0.500000  0.250000  0.433000  0.250000

Barnsleys_Wreath
  -0.500000  0.000000  0.000000 -0.500000  0.500000  0.863000  0.166667
  -0.500000  0.000000  0.000000 -0.500000  1.250000  1.300000  0.166667
  -0.500000  0.000000  0.000000 -0.500000  0.500000  1.730000  0.166667
  -0.250000  0.000000  0.000000 -0.250000  0.750000  0.866000  0.166667
  -0.250000  0.000000  0.000000 -0.250000  0.750000  1.300000  0.166667
  -0.250000  0.000000  0.000000 -0.250000  0.375000  1.080000  0.166665

Island
   0 .577 -.577 0 .0951 .5893
   0 .577 -.577 0 .4413 .7893
   0 .577 -.577 0 .0952 .9893

Nautilus
   0.860671  0.401487 -0.402177  0.860992  0.108537  0.075138  0.956972
   0.094957 -0.000995  0.237023  0.002036 -0.746911  0.047343  0.009813
   0.150288  0.000000  0.000000  0.146854 -0.563199  0.032007  0.023402
   0.324279 -0.002163  0.005846  0.001348 -0.557936 -0.139735  0.009813

Blob_01
   0.650000  0.300000 -0.300000  0.650000  0.000000  0.000000  0.500000
   0.650000  0.300000 -0.300000  0.650000  0.650000 -0.300000  0.500000

Blob_02
   0.800000 -0.200000  0.200000  0.800000  0.000000  0.000000  0.500000
   0.800000 -0.200000  0.200000  0.800000  0.800000  0.200000  0.500000

Blob_03
  -0.215409  0.662878 -0.662878 -0.215409  0.000000  0.000000  0.500000
  -0.215409  0.662878 -0.662878 -0.215409 -0.215409 -0.662878  0.500000

Blob_04
   0.500000 -0.500000  0.500000  0.500000  0.000000  0.000000  0.500000
   0.500000 -0.500000  0.500000  0.500000  0.500000  0.500000  0.500000

Blob_05
  -0.386563  0.484736 -0.484736 -0.386563  0.000000  0.000000  0.500000
  -0.386563  0.484736 -0.484736 -0.386563 -0.386563 -0.484736  0.500000

Blob_06
   0.200000 -0.600000  0.600000  0.200000  0.000000  0.000000  0.500000
   0.200000 -0.600000  0.600000  0.200000  0.200000  0.600000  0.500000
